onCharacterTurnStart --角色回合开始
onGuildUpgraded --行会升级
onGuildDestroyed --行会被摧毁
onOccupySettlement --占领定居点
onSackSettlement --洗劫定居点
onExterminatePopulation --灭绝人口
onCityRiots --城市暴动
onGiveSettlement --给予定居点
onCityRebels --城市叛乱
onCitySacked --城市被洗劫
onGovernorCityRiots --总督城市暴动
onGovernorCityRebels --总督城市叛乱
onAbandonShowMe --放弃展示
onGameReloaded --游戏重新加载
onBattleWinningPlaza --战斗占领广场
onBattleStopsWinningPlaza --战斗停止占领广场
onBattleDominatingPlaza --战斗主导广场
onBattngineUnmanned --战斗器械无人操作
onBattlePlayerArmyHalfDestroyed --战斗玩家军队半毁
onBattnemyArmyHalfDestroyed --战斗敌方军队半毁
onBattleFinished --战斗结束
onBattleArmyHalfDestroyed --战斗军队半毁
onEscPressed --按下ESC键
onScriptedAdvice --脚本建议
onNavalPreBattleScrollAdviceRequested --海军战前滚动建议请求
onPreBattleScrollAdviceRequested --战前滚动建议请求
onCollegeOfCardinalsPanelOpen --红衣主教团面板打开
onDiplomaticStandingPanelOpen --外交关系面板打开
onBattlePlayerUnderAttackIdle --战斗玩家单位被攻击闲置
onBattleWinningCombat --战斗胜利
onBattleArmyTired --战斗军队疲劳
onBattleSpySuccess --战斗间谍成功
onBattleTideofBattle --战斗战局变化
onBattleUnitGoesBerserk --战斗单位狂暴
onBattleSiegeEngineDestroyed --战斗攻城器械被摧毁
onBattleSiegeEngineDocksWall --战斗攻城器械靠墙
onBattleGatesAttackedByEngine --战斗城门被攻城器械攻击
onBattleGatesDestroyedByEngine --战斗城门被攻城器械摧毁
onBattleWallsBreachedByEngine --战斗城墙被攻城器械突破
onBattleWallsCaptured --战斗城墙被占领
onBattleUnitRouts --战斗单位溃败
onUnitDisbanded --单位解散
onUnitTrained --单位训练完成
onGovernorUnitTrained --总督单位训练完成
onGovernorBuildingCompleted --总督建筑完成
onAgentCreated --特工创建
onGovernorAgentCreated --总督特工创建
onBuildingDestroyed --建筑被摧毁
onAddedToBuildingQueue --添加到建筑队列
onBuildingCompleted --建筑完成
onRequestBuildingAdvice --请求建筑建议
onRequestTrainingAdvice --请求训练建议
onAddedToTrainingQueue --添加到训练队列
onBattleArmyRouted --战斗军队溃败
onBattleReinforcementsArrive --战斗援军到达
onRequestMercenariesAdvice --请求佣兵建议
onButtonPressed --按钮按下
onShortcutTriggered --快捷键触发
onUIElementVisible --UI元素可见
onScrollOpened --滚动打开
onScrollClosed --滚动关闭
onScrollAdviceRequested --滚动建议请求
onAdviceSupressed --建议被抑制
onBattleGeneralRouted --战斗将军溃败
onBattleGeneralKilled --战斗将军阵亡
onCrusadeCalled --十字军被召集
onPopeAcceptsCrusadeTarget --教皇接受十字军目标
onPopeRejectsCrusadeTarget --教皇拒绝十字军目标
onCrusadeEnds --十字军结束
onPreFactionTurnStart --派系回合开始前
onFactionTurnStart --派系回合开始
onFactionNewCapital --派系新首都
onFactionTurnEnd --派系回合结束
onVotedForPope --投票选举教皇
onFactionExcommunicated --派系被逐出教会
onHordeFormed --游牧部落形成
onCardinalRemoved --主教被移除
onInquisitorAppointed --任命宗教裁判官
onAssassinCaughtAttackingPope --刺客攻击教皇被抓获
onFinancesPanelOpen --财务面板打开
onFactionSummaryPanelOpen --派系摘要面板打开
onFamilyTreePanelOpen --家族树面板打开
onDiplomacyPanelOpen --外交面板打开
onPreBattlePanelOpen --战前面板打开
onIncomingMessage --收到消息
onMessageOpen --消息打开
onMessageClosed --消息关闭
onDeclineAutomatedSettlementManagement --拒绝自动定居点管理
onBattleAiCommenced --战斗AI开始
onBattleDelayPhaseCommenced --战斗延迟阶段开始
onBattleDeploymentPhaseCommenced --战斗部署阶段开始
onBattleConflictPhaseCommenced --战斗冲突阶段开始
onFactionWarDeclared --派系宣战
onFactionAllianceDeclared --派系宣布结盟
onInterFactionMarriage --派系间联姻
onFactionTradeAgreementMade --派系达成贸易协议
onPopeElected --教皇当选
onFactionBreakAlliance --派系解除联盟
onUpdateAttitude --更新态度
onDemeanour --行为举止
onGiveMoney --给予金钱
onBattlePlayerUnitAttacksEnemyUnit --战斗玩家单位攻击敌方单位
onBattleEnemyUnitAttacksPlayerUnit --战斗敌方单位攻击玩家单位
onBattlePlayerUnitGoesBerserk --战斗玩家单位狂暴
onBattlePlayerUnitRouts --战斗玩家单位溃败
onBattlePlayerSiegeEngineDestroyed --战斗玩家攻城器械被摧毁
onBattleGatesAttackedByPlayerEngine --战斗城门被玩家攻城器械攻击
onBattleEnemyUnitGoesBerserk --战斗敌方单位狂暴
onBattnemyUnitRouts --战斗敌方单位溃败
onBattnemySiegeEngineDestroyed --战斗敌方攻城器械被摧毁
onBattleGatesAttackedByEnemyEngine --战斗城门被敌方攻城器械攻击
onDisaster --灾难
onEventCounter --事件计数器
onUngarrisonedFort --无驻军堡垒
onObjSeen --对象被看到
onTileSeen --地块被看到
onTransgression --违规
onForgiveness --宽恕
onArmyTakesCrusadeTarget --军队占领十字军目标
onUnitsDesertCrusade --单位逃离十字军
draw --绘制或渲染操作
onLoadingFonts --加载字体
onNewGameStart --新游戏开始
onEduParsed --教育解析
onGameInit --游戏初始化
onUnloadCampaign --卸载战役
onAiTurn --AI回合
onClickAtTile --点击地块
onCharacterClicked --角色被点击
onCampaignTick --战役计时
onBattleTick --战斗计时
onCampaignMapLoaded --战役地图加载
onCreateSaveFile --创建存档文件
onLoadSaveFile --加载存档文件
onChangeTurnNum --改变回合数
onSelectWorldpkgdesc --选择世界包描述
onFortificationLevelS --堡垒等级
onCalculateUnitValue --计算单位价值
onEndSiege --围城结束
onStartSiege --开始围城
onPluginLoad --插件加载
onNewGameLoaded --新游戏加载
onRemoveFromUnitQueue --从单位队列中移除
